example_id                                                                | status | run_time        |
------------------------------------------------------------------------- | ------ | --------------- |
./spec/components/breadcrumbs_component_spec.rb[1:1:1:1]                  | passed | 0.00323 seconds |
./spec/components/breadcrumbs_component_spec.rb[1:1:2:1:1]                | passed | 0.01892 seconds |
./spec/components/breadcrumbs_component_spec.rb[1:1:2:2:1:1]              | passed | 0.0754 seconds  |
./spec/components/breadcrumbs_component_spec.rb[1:1:2:2:2:1]              | passed | 0.07377 seconds |
./spec/components/filter_component_spec.rb[1:1:1]                         | passed | 0.00411 seconds |
./spec/components/filter_component_spec.rb[1:1:2:1]                       | passed | 0.01149 seconds |
./spec/components/filter_component_spec.rb[1:1:3:1]                       | passed | 0.00409 seconds |
./spec/components/image_component_spec.rb[1:1:1:1]                        | passed | 0.0024 seconds  |
./spec/components/image_component_spec.rb[1:1:2:1:1]                      | passed | 0.00529 seconds |
./spec/components/image_component_spec.rb[1:1:2:2:1]                      | passed | 0.00511 seconds |
./spec/components/image_component_spec.rb[1:1:3:1]                        | passed | 0.00657 seconds |
./spec/components/link_to_cart_component_spec.rb[1:1:1:1:1]               | passed | 0.00461 seconds |
./spec/components/link_to_cart_component_spec.rb[1:1:1:2:1:1]             | passed | 0.0917 seconds  |
./spec/components/link_to_cart_component_spec.rb[1:1:1:2:2:1]             | passed | 0.10521 seconds |
./spec/components/taxons_tree_component_spec.rb[1:1:1:1:1]                | passed | 0.10036 seconds |
./spec/components/taxons_tree_component_spec.rb[1:1:1:2:1:1]              | passed | 0.02283 seconds |
./spec/components/taxons_tree_component_spec.rb[1:1:1:2:2:1]              | passed | 0.08916 seconds |
./spec/components/taxons_tree_component_spec.rb[1:1:1:3:1:1]              | passed | 0.02024 seconds |
./spec/components/taxons_tree_component_spec.rb[1:1:1:3:2:1]              | passed | 0.09048 seconds |
./spec/components/taxons_tree_component_spec.rb[1:1:2:1:1]                | passed | 0.08988 seconds |
./spec/components/taxons_tree_component_spec.rb[1:1:2:2:1:1]              | passed | 0.09094 seconds |
./spec/components/taxons_tree_component_spec.rb[1:1:2:2:2:1]              | passed | 0.10517 seconds |
./spec/components/taxons_tree_component_spec.rb[1:1:3:1]                  | passed | 0.08642 seconds |
./spec/components/taxons_tree_component_spec.rb[1:1:4:1:1]                | passed | 0.08679 seconds |
./spec/components/taxons_tree_component_spec.rb[1:1:4:2:1]                | passed | 0.08598 seconds |
./spec/controllers/spree/base_controller_spec.rb[1:1:1:1:1]               | passed | 0.01546 seconds |
./spec/controllers/spree/base_controller_spec.rb[1:1:1:2:1]               | passed | 0.01334 seconds |
./spec/controllers/spree/base_controller_spec.rb[1:1:2:1:1]               | passed | 0.00739 seconds |
./spec/controllers/spree/base_controller_spec.rb[1:1:2:2:1]               | passed | 0.00779 seconds |
./spec/controllers/spree/checkout_controller_spec.rb[1:1:1:1:1]           | passed | 0.09744 seconds |
./spec/controllers/spree/checkout_controller_spec.rb[1:1:1:2:1]           | passed | 0.08974 seconds |
./spec/controllers/spree/checkout_controller_spec.rb[1:1:1:3:1]           | passed | 0.08864 seconds |
./spec/controllers/spree/checkout_controller_spec.rb[1:1:1:3:2:1]         | passed | 0.09437 seconds |
./spec/controllers/spree/checkout_controller_spec.rb[1:1:2:1:1]           | passed | 0.1071 seconds  |
./spec/controllers/spree/checkout_controller_spec.rb[1:1:2:2:1]           | passed | 0.09652 seconds |
./spec/controllers/spree/checkout_controller_spec.rb[1:2:1:1:1]           | passed | 0.14906 seconds |
./spec/controllers/spree/checkout_controller_spec.rb[1:2:1:2:1]           | passed | 0.19777 seconds |
./spec/controllers/spree/checkout_controller_spec.rb[1:3:1]               | passed | 0.10579 seconds |
./spec/controllers/spree/checkout_controller_spec.rb[1:3:2]               | passed | 0.12089 seconds |
./spec/controllers/spree/checkout_controller_spec.rb[1:4:1]               | passed | 0.09924 seconds |
./spec/controllers/spree/checkout_controller_spec.rb[1:4:2]               | passed | 0.10058 seconds |
./spec/controllers/spree/checkout_controller_spec.rb[1:4:3:1]             | passed | 0.14618 seconds |
./spec/controllers/spree/checkout_controller_spec.rb[1:4:4:1]             | passed | 0.13649 seconds |
./spec/controllers/spree/checkout_controller_spec.rb[1:4:5:1]             | passed | 0.12919 seconds |
./spec/controllers/spree/checkout_controller_spec.rb[1:4:6:1]             | passed | 0.09828 seconds |
./spec/controllers/spree/products_controller_spec.rb[1:1]                 | passed | 0.06227 seconds |
./spec/controllers/spree/products_controller_spec.rb[1:2]                 | passed | 0.05062 seconds |
./spec/controllers/spree/user_passwords_controller_spec.rb[1:1:1:1]       | passed | 0.00357 seconds |
./spec/controllers/spree/user_passwords_controller_spec.rb[1:1:1:2]       | passed | 0.00378 seconds |
./spec/controllers/spree/user_passwords_controller_spec.rb[1:1:2:1]       | passed | 0.00515 seconds |
./spec/controllers/spree/user_passwords_controller_spec.rb[1:2:1:1]       | passed | 0.00572 seconds |
./spec/controllers/spree/user_registrations_controller_spec.rb[1:1:1:1]   | passed | 0.01358 seconds |
./spec/controllers/spree/user_registrations_controller_spec.rb[1:1:1:2]   | passed | 0.01227 seconds |
./spec/controllers/spree/user_registrations_controller_spec.rb[1:1:1:3]   | passed | 0.01387 seconds |
./spec/controllers/spree/user_registrations_controller_spec.rb[1:1:1:4]   | passed | 0.0123 seconds  |
./spec/controllers/spree/user_registrations_controller_spec.rb[1:1:1:5]   | passed | 0.01152 seconds |
./spec/controllers/spree/user_registrations_controller_spec.rb[1:1:1:6:1] | passed | 0.04393 seconds |
./spec/controllers/spree/user_registrations_controller_spec.rb[1:1:1:6:2] | passed | 0.03237 seconds |
./spec/controllers/spree/user_registrations_controller_spec.rb[1:1:1:6:3] | passed | 0.03112 seconds |
./spec/controllers/spree/user_registrations_controller_spec.rb[1:1:2:1]   | passed | 0.00895 seconds |
./spec/controllers/spree/user_registrations_controller_spec.rb[1:1:2:2]   | passed | 0.00965 seconds |
./spec/controllers/spree/user_sessions_controller_spec.rb[1:1:1:1:1]      | passed | 0.03122 seconds |
./spec/controllers/spree/user_sessions_controller_spec.rb[1:1:1:1:2]      | passed | 0.03329 seconds |
./spec/controllers/spree/user_sessions_controller_spec.rb[1:1:1:1:3]      | passed | 0.03001 seconds |
